symbol,name,report_period,announcement_date,announcement_title,announcement_url
601872,招商轮船,20250331,2025-04-30,招商轮船2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1223415966&orgId=9900001441&announcementTime=2025-04-30
601872,招商轮船,20250630,2025-08-28,招商轮船2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1224600704&orgId=9900001441&announcementTime=2025-08-28
601872,招商轮船,20250930,2025-10-30,招商轮船2025年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1224759611&orgId=9900001441&announcementTime=2025-10-30
601872,招商轮船,20251231,2026-03-27,招商轮船2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1225037458&orgId=9900001441&announcementTime=2026-03-27
601872,招商轮船,20260331,2026-04-25,招商轮船2026年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1225196064&orgId=9900001441&announcementTime=2026-04-25
601877,正泰电器,20231231,2024-04-30,正泰电器2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1219922952&orgId=9900010254&announcementTime=2024-04-30
601877,正泰电器,20240331,2024-04-30,正泰电器2024年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1219922945&orgId=9900010254&announcementTime=2024-04-30
601877,正泰电器,20240630,2024-08-31,正泰电器2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1221089506&orgId=9900010254&announcementTime=2024-08-31
601877,正泰电器,20240930,2024-10-31,正泰电器2024年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1221574826&orgId=9900010254&announcementTime=2024-10-31
601877,正泰电器,20241231,2025-04-30,正泰电器2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1223409484&orgId=9900010254&announcementTime=2025-04-30
601877,正泰电器,20250331,2025-04-30,正泰电器2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1223409503&orgId=9900010254&announcementTime=2025-04-30
601877,正泰电器,20250630,2025-08-28,正泰电器2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1224586923&orgId=9900010254&announcementTime=2025-08-28
601877,正泰电器,20250930,2025-10-30,正泰电器2025年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1224758551&orgId=9900010254&announcementTime=2025-10-30
601877,正泰电器,20251231,2026-04-16,正泰电器2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1225105296&orgId=9900010254&announcementTime=2026-04-16
601877,正泰电器,20260331,2026-04-16,正泰电器2026年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601877&announcementId=1225105306&orgId=9900010254&announcementTime=2026-04-16
601878,浙商证券,20231231,2024-04-11,浙商证券股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601878&announcementId=1219564546&orgId=qsgn0000203&announcementTime=2024-04-11
601878,浙商证券,20240331,2024-04-30,浙商证券股份有限公司2024年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601878&announcementId=1219907385&orgId=qsgn0000203&announcementTime=2024-04-30
601878,浙商证券,20240630,2024-08-24,浙商证券股份有限公司2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601878&announcementId=1220960460&orgId=qsgn0000203&announcementTime=2024-08-24
601878,浙商证券,20240930,2024-10-31,浙商证券股份有限公司2024年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601878&announcementId=1221569784&orgId=qsgn0000203&announcementTime=2024-10-31
601878,浙商证券,20241231,2025-04-11,浙商证券股份有限公司2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601878&announcementId=1223057398&orgId=qsgn0000203&announcementTime=2025-04-11
601878,浙商证券,20250331,2025-04-30,浙商证券股份有限公司2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601878&announcementId=1223405195&orgId=qsgn0000203&announcementTime=2025-04-30
601878,浙商证券,20250630,2025-08-23,浙商证券股份有限公司2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601878&announcementId=1224554479&orgId=qsgn0000203&announcementTime=2025-08-23
